2026-03-04 12:48:49,237 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:48:50,800 | INPUT | INFO | Fill input "Email" to value "  "
2026-03-04 12:48:50,801 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:48:50,867 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:48:50,867 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:48:50,963 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:48:50,963 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:48:51,077 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:51,078 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:48:51,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:51,103 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
