2026-03-04 12:48:55,252 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:48:56,692 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-registration-link" at index "0"
2026-03-04 12:48:56,693 | BASE_ELEMENT | INFO | Clicking link "Registration"
2026-03-04 12:48:56,770 | BASE_PAGE | INFO | Checking that current url matches pattern ".*/#/auth/registration"
2026-03-04 12:48:56,803 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:48:56,803 | BASE_ELEMENT | INFO | Checking that input "Email" is visible
2026-03-04 12:48:56,827 | INPUT | INFO | Checking that input "Email" has a value ""
2026-03-04 12:48:56,827 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:48:56,842 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:48:56,842 | BASE_ELEMENT | INFO | Checking that input "Username" is visible
2026-03-04 12:48:56,851 | INPUT | INFO | Checking that input "Username" has a value ""
2026-03-04 12:48:56,852 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:48:56,857 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:48:56,857 | BASE_ELEMENT | INFO | Checking that input "Password" is visible
2026-03-04 12:48:56,862 | INPUT | INFO | Checking that input "Password" has a value ""
2026-03-04 12:48:56,862 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
