2026-03-04 12:48:57,033 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2026-03-04 12:48:58,017 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:48:58,018 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2026-03-04 12:48:58,064 | INPUT | INFO | Fill input "Username" to value "username"
2026-03-04 12:48:58,064 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2026-03-04 12:48:58,082 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:48:58,083 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2026-03-04 12:48:58,103 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2026-03-04 12:48:58,103 | BASE_ELEMENT | INFO | Clicking button "Registration"
2026-03-04 12:48:58,373 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:48:59,854 | BUTTON | INFO | Checking that button "Button" is disabled
2026-03-04 12:48:59,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:48:59,886 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:48:59,887 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,895 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2026-03-04 12:48:59,895 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2026-03-04 12:48:59,902 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2026-03-04 12:48:59,903 | BASE_ELEMENT | INFO | Checking that icon "Upload info icon" is visible
2026-03-04 12:48:59,911 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:48:59,911 | BASE_ELEMENT | INFO | Checking that text "Upload info title" is visible
2026-03-04 12:48:59,918 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2026-03-04 12:48:59,918 | BASE_ELEMENT | INFO | Checking that text "Upload info title" has text "Tap on "Upload image" button to select file"
2026-03-04 12:48:59,925 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:48:59,925 | BASE_ELEMENT | INFO | Checking that text "Upload info description" is visible
2026-03-04 12:48:59,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2026-03-04 12:48:59,932 | BASE_ELEMENT | INFO | Checking that text "Upload info description" has text "Recommended file size 540X300"
2026-03-04 12:48:59,939 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2026-03-04 12:48:59,939 | BASE_ELEMENT | INFO | Checking that button "Upload button" is visible
2026-03-04 12:48:59,945 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2026-03-04 12:48:59,945 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:48:59,951 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:48:59,952 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:48:59,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2026-03-04 12:48:59,957 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2026-03-04 12:48:59,962 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:48:59,963 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2026-03-04 12:48:59,968 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2026-03-04 12:48:59,968 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
