2026-03-04 12:48:49,223 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:48:50,777 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:48:50,777 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:48:50,829 | INPUT | INFO | Fill input "Password" to value "password"
2026-03-04 12:48:50,829 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:48:50,887 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:48:50,888 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:48:51,037 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:51,037 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:48:51,070 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:51,070 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
