2026-03-04 12:49:01,410 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2026-03-04 12:49:03,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:49:03,231 | BASE_ELEMENT | INFO | Checking that text "UI Course" is visible
2026-03-04 12:49:03,298 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2026-03-04 12:49:03,298 | BASE_ELEMENT | INFO | Checking that text "UI Course" has text "UI Course"
2026-03-04 12:49:03,324 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:49:03,324 | BASE_ELEMENT | INFO | Checking that text "Welcome text" is visible
2026-03-04 12:49:03,348 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2026-03-04 12:49:03,348 | BASE_ELEMENT | INFO | Checking that text "Welcome text" has text "Welcome, username!"
2026-03-04 12:49:03,371 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2026-03-04 12:49:03,372 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:49:03,415 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,415 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:49:03,447 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,448 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2026-03-04 12:49:03,472 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2026-03-04 12:49:03,472 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:49:03,487 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2026-03-04 12:49:03,487 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:49:03,497 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,497 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:49:03,507 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,507 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2026-03-04 12:49:03,516 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-button" at index "0"
2026-03-04 12:49:03,517 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2026-03-04 12:49:03,526 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-icon" at index "0"
2026-03-04 12:49:03,526 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2026-03-04 12:49:03,535 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,535 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:49:03,543 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-title-text" at index "0"
2026-03-04 12:49:03,543 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2026-03-04 12:49:03,549 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-drawer-list-item-button" at index "0"
2026-03-04 12:49:03,549 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
