2026-03-04 12:48:51,761 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2026-03-04 12:48:53,231 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2026-03-04 12:48:53,231 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2026-03-04 12:48:53,295 | INPUT | INFO | Fill input "Password" to value "  "
2026-03-04 12:48:53,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2026-03-04 12:48:53,383 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2026-03-04 12:48:53,383 | BASE_ELEMENT | INFO | Clicking button "Login"
2026-03-04 12:48:53,499 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:53,499 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2026-03-04 12:48:53,532 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2026-03-04 12:48:53,532 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
