2026-03-04 12:48:59,611 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2026-03-04 12:49:01,100 | INPUT | INFO | Fill input "Course title" to value "Playwright"
2026-03-04 12:49:01,100 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:49:01,191 | INPUT | INFO | Checking that input "Course title" has a value "Playwright"
2026-03-04 12:49:01,191 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2026-03-04 12:49:01,221 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2026-03-04 12:49:01,221 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:49:01,329 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2026-03-04 12:49:01,329 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2026-03-04 12:49:01,357 | TEXTAREA | INFO | Fill textarea "Course description" to value "Playwright"
2026-03-04 12:49:01,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:49:01,426 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright"
2026-03-04 12:49:01,426 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:49:01,443 | INPUT | INFO | Fill input "Max score" to value "100"
2026-03-04 12:49:01,443 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:49:01,478 | INPUT | INFO | Checking that input "Max score" has a value "100"
2026-03-04 12:49:01,479 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:49:01,497 | INPUT | INFO | Fill input "Min score" to value "10"
2026-03-04 12:49:01,497 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:49:01,556 | INPUT | INFO | Checking that input "Min score" has a value "10"
2026-03-04 12:49:01,557 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:49:01,584 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload input"
2026-03-04 12:49:01,584 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2026-03-04 12:49:01,688 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:49:01,689 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:49:01,815 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 12:49:01,816 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 12:49:01,881 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
